Subject,channel,exp_cond,value,Experiment,Condition,Base_task
Subj02,1,comp_phon_baseline_hbo,-6.21E-09,Comprehension,Phonological,Baseline
Subj02,2,comp_phon_baseline_hbo,7.37E-08,Comprehension,Phonological,Baseline
Subj02,3,comp_phon_baseline_hbo,-3.37E-08,Comprehension,Phonological,Baseline
Subj02,4,comp_phon_baseline_hbo,-2.70E-08,Comprehension,Phonological,Baseline
Subj02,6,comp_phon_baseline_hbo,8.87E-08,Comprehension,Phonological,Baseline
Subj02,7,comp_phon_baseline_hbo,4.67E-08,Comprehension,Phonological,Baseline
Subj02,8,comp_phon_baseline_hbo,2.39E-08,Comprehension,Phonological,Baseline
Subj02,9,comp_phon_baseline_hbo,8.79E-08,Comprehension,Phonological,Baseline
Subj02,10,comp_phon_baseline_hbo,6.91E-08,Comprehension,Phonological,Baseline
Subj02,11,comp_phon_baseline_hbo,2.83E-08,Comprehension,Phonological,Baseline
Subj02,12,comp_phon_baseline_hbo,7.42E-08,Comprehension,Phonological,Baseline
Subj02,13,comp_phon_baseline_hbo,-4.57E-09,Comprehension,Phonological,Baseline
Subj02,15,comp_phon_baseline_hbo,3.22E-07,Comprehension,Phonological,Baseline
Subj02,16,comp_phon_baseline_hbo,-4.96E-08,Comprehension,Phonological,Baseline
Subj02,17,comp_phon_baseline_hbo,-4.43E-07,Comprehension,Phonological,Baseline
Subj02,18,comp_phon_baseline_hbo,-4.03E-07,Comprehension,Phonological,Baseline
Subj02,19,comp_phon_baseline_hbo,2.99E-08,Comprehension,Phonological,Baseline
Subj02,20,comp_phon_baseline_hbo,-3.45E-08,Comprehension,Phonological,Baseline
Subj02,21,comp_phon_baseline_hbo,9.67E-08,Comprehension,Phonological,Baseline
Subj02,22,comp_phon_baseline_hbo,2.37E-08,Comprehension,Phonological,Baseline
Subj02,24,comp_phon_baseline_hbo,8.17E-08,Comprehension,Phonological,Baseline
Subj02,25,comp_phon_baseline_hbo,5.81E-08,Comprehension,Phonological,Baseline
Subj02,26,comp_phon_baseline_hbo,2.94E-07,Comprehension,Phonological,Baseline
Subj02,27,comp_phon_baseline_hbo,-4.40E-08,Comprehension,Phonological,Baseline
Subj02,28,comp_phon_baseline_hbo,3.26E-08,Comprehension,Phonological,Baseline
Subj02,29,comp_phon_baseline_hbo,-3.78E-09,Comprehension,Phonological,Baseline
Subj02,30,comp_phon_baseline_hbo,-6.27E-08,Comprehension,Phonological,Baseline
Subj02,31,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj02,33,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj02,34,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj02,35,comp_phon_baseline_hbo,-1.41E-07,Comprehension,Phonological,Baseline
Subj02,36,comp_phon_baseline_hbo,9.16E-08,Comprehension,Phonological,Baseline
Subj03,1,comp_phon_baseline_hbo,1.75E-07,Comprehension,Phonological,Baseline
Subj03,2,comp_phon_baseline_hbo,-2.07E-07,Comprehension,Phonological,Baseline
Subj03,3,comp_phon_baseline_hbo,6.67E-09,Comprehension,Phonological,Baseline
Subj03,4,comp_phon_baseline_hbo,4.70E-08,Comprehension,Phonological,Baseline
Subj03,6,comp_phon_baseline_hbo,1.23E-09,Comprehension,Phonological,Baseline
Subj03,7,comp_phon_baseline_hbo,-2.52E-09,Comprehension,Phonological,Baseline
